Dorsal,Nombre,PosicionSet1,PosicionSet2,PosicionSet3,PosicionSet4,PosicionSet5,PuntosTot,PuntosBP,PuntosG-P,SaqueTot,SaqueErr,SaqueDirecto,RecepciónTot,RecepciónErr,RecepciónPos%,RecepciónExc.%,AtaqueTot,AtaqueErr,AtaqueBlo,AtaqueExc.,AtaqueExc. %,BloqueoPts
2,ABDESLAM TORRENTE  Adrim (L),,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
3,Malaber Lucas Martín,2,2,2,,,13,4,6,13,16,3,1,19,2,63 %,47 %,19,63 %,19,1,1
5,Méndez Jiménez Víctor,,6,3,,,5,3,1,5,5,2,-,1,-,100 %,100 %,1,100 %,5,2,-
6,García Borrás Héctor,1,1,*,,,-,-,-,-,6,-,-,-,-,.,.,-,.,-,-,-
7,Mohamer Arifi Abdelhafid,*,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
9,Nath Arthur Adriano (L),*,*,*,,,-,-,-2,-,-,-,-,19,2,47 %,21 %,19,47 %,-,-,-
11,Arquez Federico,*,*,1,,,1,1,1,1,7,-,1,-,-,.,.,-,.,-,-,-
12,Rodríguez Rubio Aurelio,3,3,*,,,3,1,2,3,7,-,1,-,-,.,.,-,.,5,1,-
13,Macarro Tortajada Daniel,6,*,6,,,5,2,3,5,5,1,-,-,-,.,.,-,.,8,-,1
17,París Ibáñez Zeus,5,5,5,,,9,1,2,9,6,2,-,25,1,64 %,32 %,25,64 %,16,3,1
19,Alvarez Escudero Eduardo,*,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
20,Keoni Thim,,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
87,Martina Federico,4,4,4,,,14,2,10,14,13,-,-,-,-,.,.,-,.,26,2,2
